t_s,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.0100835,0,0,0,0,0,0,0,0
0.0201575,0,0,0,0,0,0,0,0
0.03023,0,0,0,0,0,0,0,0
0.0403504,0,0,0,0,0,0,0,0
0.0504673,0,0,0,0,0,0,0,0
0.0605806,0,0,0,0,0,0,0,0
0.0706937,0,0,0,0,0,0,0,0
0.0808217,0,0,0,0,0,0,0,0
0.0909397,0,0,0,0,0,0,0,0
0.101053,0,0,0,0,0,0,0,0
0.111167,0,0,0,0,0,0,0,0
0.12128,0,0,0,0,0,0,0,0
0.131396,0,0,0,0,0,0,0,0
0.141507,0,0,0,0,0,0,0,0
0.151621,0,0,0,0,0,0,0,0
0.161733,0,0,0,0,0,0,0,0
0.171845,0,0,0,0,0,0,0,0
0.181958,0,0,0,0,0,0,0,0
0.19207,0,0,0,0,0,0,0,0
0.202181,0,0,0,0,0,0,0,0
0.212303,0,0,0,0,0,0,0,0
0.222416,0,0,0,0,0,0,0,0
0.232529,0,0,0,0,0,0,0,0
0.242641,0,0,0,0,0,0,0,0
0.252753,0,0,0,0,0,0,0,0
0.262865,0,0,0,0,0,0,0,0
0.272989,0,0,0,0,0,0,0,0
0.283101,0,0,0,0,0,0,0,0
0.293212,0,0,0,0,0,0,0,0
0.303324,0,0,0,0,0,0,0,0
0.313436,0,0,0,0,0,0,0,0
0.323548,0,0,0,0,0,0,0,0
0.333661,0,0,0,0,0,0,0,0
0.343773,0,0,0,0,0,0,0,0
0.353884,0,0,0,0,0,0,0,0
0.363996,0,0,0,0,0,0,0,0
0.374119,0,0,0,0,0,0,0,0
0.384232,0,0,0,0,0,0,0,0
0.394358,0,0,0,0,0,0,0,0
0.404473,0,0,0,0,0,0,0,0
0.414587,0,0,0,0,0,0,0,0
0.4247,0,0,0,0,0,0,0,0
0.434901,0,0,0,0,0,0,0,0
0.445013,0,0,0,0,0,0,0,0
0.455124,0,0,0,0,0,0,0,0
0.465239,0,0,0,0,0,0,0,0
0.475351,0,0,0,0,0,0,0,0
0.485463,0,0,0,0,0,0,0,0
0.495575,0,0,0,0,0,0,0,0
0.505689,0,0,0,0,0,0,0,0
0.515803,0,0,0,0,0,0,0,0
0.525904,0,0,0,0,0,0,0,0
0.536142,0,0,0,0,0,0,0,0
0.546384,0,0,0,0,0,0,0,0
0.556665,0,0,0,0,0,0,0,0
0.566917,0,0,0,0,0,0,0,0
0.577196,0,0,0,0,0,0,0,0
0.587449,0,0,0,0,0,0,0,0
0.597734,0,0,0,0,0,0,0,0
0.607836,0,0,0,0,0,0,0,0
0.618091,0,0,0,0,0,0,0,0
0.628379,0,0,0,0,0,0,0,0
0.638583,0,0,0,0,0,0,0,0
0.648835,0,0,0,0,0,0,0,0
0.65912,0,0,0,0,0,0,0,0
0.669374,0,0,0,0,0,0,0,0
0.679659,0,0,0,0,0,0,0,0
0.68991,0,0,0,0,0,0,0,0
0.700192,0,0,0,0,0,0,0,0
0.710443,0,0,0,0,0,0,0,0
0.720727,0,0,0,0,0,0,0,0
0.730979,0,0,0,0,0,0,0,0
0.741253,0,0,0,0,0,0,0,0
0.751502,0,0,0,0,0,0,0,0
0.761784,0,0,0,0,0,0,0,0
0.772035,0,0,0,0,0,0,0,0
0.782319,0,0,0,0,0,0,0,0
0.792573,0,0,0,0,0,0,0,0
0.802855,0,0,0,0,0,0,0,0
0.813104,0,0,0,0,0,0,0,0
0.823386,0,0,0,0,0,0,0,0
0.833478,0,0,0,0,0,0,0,0
0.843729,0,0,0,0,0,0,0,0
0.85401,0,0,0,0,0,0,0,0
0.86421,0,0,0,0,0,0,0,0
0.874459,0,0,0,0,0,0,0,0
0.884749,0,0,0,0,0,0,0,0
0.894951,0,0,0,0,0,0,0,0
0.905203,0,0,0,0,0,0,0,0
0.915487,0,0,0,0,0,0,0,0
0.925756,0,0,0,0,0,0,0,0
0.936047,0,0,0,0,0,0,0,0
0.946298,0,0,0,0,0,0,0,0
0.956578,0,0,0,0,0,0,0,0
0.96667,0,0,0,0,0,0,0,0
0.976919,0,0,0,0,0,0,0,0
0.98719,0,0,0,0,0,0,0,0
0.997406,0,0,0,0,0,0,0,0
1.00763,0,0,0,0,0,0,0,0
1.01789,0,0,0,0,0,0,0,0
1.02797,0,0,0,0,0,0,0,0
1.03814,0,0,0,0,0,0,0,0
1.0482,0,0,0,0,0,0,0,0
1.05832,0,0,0,0,0,0,0,0
1.06839,0,0,0,0,0,0,0,0
1.07862,0,0,0,0,0,0,0,0
1.08876,0,0,0,0,0,0,0,0
1.09899,0,0,0,0,0,0,0,0
1.10922,0,0,0,0,0,0,0,0
1.11943,0,0,0,0,0,0,0,0
1.12963,0,0,0,0,0,0,0,0
1.13982,0,0,0,0,0,0,0,0
1.15001,0,0,0,0,0,0,0,0
1.16018,0,0,0,0,0,0,0,0
1.17037,0,0,0,0,0,0,0,0
1.18056,0,0,0,0,0,0,0,0
1.19072,0,0,0,0,0,0,0,0
1.20092,0,0,0,0,0,0,0,0
1.21111,0,0,0,0,0,0,0,0
1.22127,0,0,0,0,0,0,0,0
1.23147,0,0,0,0,0,0,0,0
1.24163,0,0,0,0,0,0,0,0
1.25185,0,0,0,0,0,0,0,0
1.26206,0,0,0,0,0,0,0,0
1.27228,0,0,0,0,0,0,0,0
1.28253,0,0,0,0,0,0,0,0
1.29275,0,0,0,0,0,0,0,0
1.30296,0,0,0,0,0,0,0,0
1.31317,0,0,0,0,0,0,0,0
1.32339,0,0,0,0,0,0,0,0
1.3336,0,0,0,0,0,0,0,0
1.34372,0,0,0,0,0,0,0,0
1.35383,0,0,0,0,0,0,0,0
1.36395,0,0,0,0,0,0,0,0
1.37406,0,0,0,0,0,0,0,0
1.38417,0,0,0,0,0,0,0,0
1.39428,0,0,0,0,0,0,0,0
1.40441,0,0,0,0,0,0,0,0
1.41452,0,0,0,0,0,0,0,0
1.42464,0,0,0,0,0,0,0,0
1.43475,0,0,0,0,0,0,0,0
1.44486,0,0,0,0,0,0,0,0
1.45497,0,0,0,0,0,0,0,0
1.46508,0,0,0,0,0,0,0,0
1.4752,0,0,0,0,0,0,0,0
1.48531,0,0,0,0,0,0,0,0
1.49542,0,0,0,0,0,0,0,0
1.50554,0,0,0,0,0,0,0,0
1.51565,0,0,0,0,0,0,0,0
1.52576,0,0,0,0,0,0,0,0
1.53588,0,0,0,0,0,0,0,0
1.54599,0,0,0,0,0,0,0,0
1.5561,0,0,0,0,0,0,0,0
1.56621,0,0,0,0,0,0,0,0
1.57633,0,0,0,0,0,0,0,0
1.58644,0,0,0,0,0,0,0,0
1.59655,0,0,0,0,0,0,0,0
1.60667,0,0,0,0,0,0,0,0
1.61678,0,0,0,0,0,0,0,0
1.62689,0,0,0,0,0,0,0,0
1.637,0,0,0,0,0,0,0,0
1.64712,0,0,0,0,0,0,0,0
1.65724,0,0,0,0,0,0,0,0
1.66735,0,0,0,0,0,0,0,0
1.67746,0,0,0,0,0,0,0,0
1.68757,0,0,0,0,0,0,0,0
1.69769,0,0,0,0,0,0,0,0
1.7078,0,0,0,0,0,0,0,0
1.71791,0,0,0,0,0,0,0,0
1.72802,0,0,0,0,0,0,0,0
1.73814,0,0,0,0,0,0,0,0
1.74825,0,0,0,0,0,0,0,0
1.75837,0,0,0,0,0,0,0,0
1.76848,0,0,0,0,0,0,0,0
1.77859,0,0,0,0,0,0,0,0
1.7887,0,0,0,0,0,0,0,0
1.79882,0,0,0,0,0,0,0,0
1.80893,0,0,0,0,0,0,0,0
1.81904,0,0,0,0,0,0,0,0
1.82916,0,0,0,0,0,0,0,0
1.83927,0,0,0,0,0,0,0,0
1.84938,0,0,0,0,0,0,0,0
1.85949,0,0,0,0,0,0,0,0
1.86961,0,0,0,0,0,0,0,0
1.87972,0,0,0,0,0,0,0,0
1.88983,0,0,0,0,0,0,0,0
1.89994,0,0,0,0,0,0,0,0
1.91006,0,0,0,0,0,0,0,0
1.92017,0,0,0,0,0,0,0,0
1.93028,0,0,0,0,0,0,0,0
1.9404,0,0,0,0,0,0,0,0
1.95051,0,0,0,0,0,0,0,0
1.96062,0,0,0,0,0,0,0,0
1.97073,0,0,0,0,0,0,0,0
1.98085,0,0,0,0,0,0,0,0
1.99096,0,0,0,0,0,0,0,0
2.00107,0,0,0,0,0,0,0,0
2.01118,0,0,0,0,0,0,0,0
2.0213,0,0,0,0,0,0,0,0
2.03141,0,0,0,0,0,0,0,0
2.04155,0,0,0,0,0,0,0,0
2.05166,0,0,0,0,0,0,0,0
2.06178,0,0,0,0,0,0,0,0
2.07184,0,0,0,0,0,0,0,0
2.08201,0,0,0,0,0,0,0,0
2.09226,0,0,0,0,0,0,0,0
2.10252,0,0,0,0,0,0,0,0
2.11269,0,0,0,0,0,0,0,0
2.12286,0,0,0,0,0,0,0,0
2.13305,0,0,0,0,0,0,0,0
2.14324,0,0,0,0,0,0,0,0
2.15343,0,0,0,0,0,0,0,0
2.16362,0,0,0,0,0,0,0,0
2.17381,0,0,0,0,0,0,0,0
2.18397,0,0,0,0,0,0,0,0
2.19417,0,0,0,0,0,0,0,0
2.20433,0,0,0,0,0,0,0,0
2.21452,0,0,0,0,0,0,0,0
2.22469,0,0,0,0,0,0,0,0
2.23488,0,0,0,0,0,0,0,0
2.24504,0,0,0,0,0,0,0,0
2.25523,0,0,0,0,0,0,0,0
2.26543,0,0,0,0,0,0,0,0
2.27562,0,0,0,0,0,0,0,0
2.28581,0,0,0,0,0,0,0,0
2.296,0,0,0,0,0,0,0,0
2.30619,0,0,0,0,0,0,0,0
2.31627,0,0,0,0,0,0,0,0
2.32644,0,0,0,0,0,0,0,0
2.33663,0,0,0,0,0,0,0,0
2.3468,0,0,0,0,0,0,0,0
2.35699,0,0,0,0,0,0,0,0
2.36719,0,0,0,0,0,0,0,0
2.37738,0,0,0,0,0,0,0,0
2.38757,0,0,0,0,0,0,0,0
2.39777,0,0,0,0,0,0,0,0
2.40796,0,0,0,0,0,0,0,0
2.41815,0,0,0,0,0,0,0,0
2.42831,0,0,0,0,0,0,0,0
2.4385,0,0,0,0,0,0,0,0
2.44866,0,0,0,0,0,0,0,0
2.45885,0,0,0,0,0,0,0,0
2.46903,0,0,0,0,0,0,0,0
2.47925,0,0,0,0,0,0,0,0
2.48941,0,0,0,0,0,0,0,0
2.4996,0,0,0,0,0,0,0,0
2.5098,0,0,0,0,0,0,0,0
2.51987,0,0,0,0,0,0,0,0
2.53004,0,0,0,0,0,0,0,0
2.54023,0,0,0,0,0,0,0,0
2.55042,0,0,0,0,0,0,0,0
2.56062,0,0,0,0,0,0,0,0
2.57081,0,0,0,0,0,0,0,0
2.581,0,0,0,0,0,0,0,0
2.5912,0,0,0,0,0,0,0,0
2.60139,0,0,0,0,0,0,0,0
2.6116,0,0,0,0,0,0,0,0
2.62182,0,0,0,0,0,0,0,0
2.63203,0,0,0,0,0,0,0,0
2.64224,0,0,0,0,0,0,0,0
2.65246,0,0,0,0,0,0,0,0
2.66267,0,0,0,0,0,0,0,0
2.67288,0,0,0,0,0,0,0,0
2.68311,0,0,0,0,0,0,0,0
2.69332,0,0,0,0,0,0,0,0
2.70354,0,0,0,0,0,0,0,0
2.71375,0,0,0,0,0,0,0,0
2.72397,0,0,0,0,0,0,0,0
2.73422,0,0,0,0,0,0,0,0
2.74444,0,0,0,0,0,0,0,0
2.75465,0,0,0,0,0,0,0,0
2.76486,0,0,0,0,0,0,0,0
2.77507,0,0,0,0,0,0,0,0
2.78529,0,0,0,0,0,0,0,0
2.7955,0,0,0,0,0,0,0,0
2.80572,0,0,0,0,0,0,0,0
2.81593,0,0,0,0,0,0,0,0
2.82616,0,0,0,0,0,0,0,0
2.83641,0,0,0,0,0,0,0,0
2.84663,0,0,0,0,0,0,0,0
2.85675,0,0,0,0,0,0,0,0
2.86681,-0.25,-0.25,-0.25,-0.25,0,0,0,0
2.87687,-0.25,-0.25,-0.25,-0.25,0,0,0,0
2.88699,-0.25,-0.25,-0.25,-0.25,0,0,0,0
2.8971,-0.25,-0.25,-0.25,-0.25,0,0,0,0
2.90721,-0.25,-0.25,-0.25,-0.25,0,0,0,0
2.91733,-0.25,-0.25,-0.25,-0.25,0,0,0,0
2.92745,-0.25,-0.25,-0.25,-0.25,0,0,0,0
2.93756,-0.25,-0.25,-0.25,-0.25,0,0,0,0
2.94769,-0.25,-0.25,-0.25,-0.25,0,0,0,0
2.9578,-0.25,-0.25,-0.25,-0.25,0,0,0,0
2.96792,-0.25,-0.25,-0.25,-0.25,0,0,0,0
2.97803,-0.25,-0.25,-0.25,-0.25,0,0,0,0
2.98814,-0.25,-0.25,-0.25,-0.25,0,0,0,0
2.99825,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.00837,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.01848,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.02859,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.03871,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.04882,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.05893,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.06904,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.07928,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.08939,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.09949,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.10959,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.11981,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.13005,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.14027,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.15049,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.1607,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.17093,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.18115,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.19138,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.2016,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.21182,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.22204,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.23225,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.2426,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.2527,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.26281,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.27317,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.28334,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.29351,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.3037,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.31387,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.32405,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.33423,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.34441,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.35459,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.36476,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.37494,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.38511,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.39529,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.40547,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.41565,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.42591,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.43609,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.44627,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.45635,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.46644,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.47674,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.48686,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.49708,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.50729,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.51751,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.52773,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.53796,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.54818,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.5584,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.56862,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.57884,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.58907,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.59929,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.60951,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.61974,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.62996,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.64018,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.6503,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.6604,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.67063,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.68089,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.69111,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.70133,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.71154,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.72176,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.73199,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.74222,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.75244,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.76267,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.77289,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.78311,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.79334,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.80346,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.81367,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.8239,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.83412,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.84436,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.8545,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.86462,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.87476,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.8849,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.89505,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.90513,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.9153,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.92547,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.93554,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.94571,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.9558,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.96588,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.97597,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.98614,-0.25,-0.25,-0.25,-0.25,0,0,0,0
3.99631,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.00648,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.01665,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.02685,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.03707,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.04729,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.0575,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.06771,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.07792,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.08812,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.09834,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.10864,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.11884,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.12904,-0.25,-0.25,-0.25,-0.25,0,0,0,0
4.13922,-0.25,-0.25,-0.25,-0.25,0,0,0,0
